"","state.abb","name","population","id","missing_2020","missing_2021","Notes","source"
"225","CA","monterey county",438390,31695,"","","",""
"226","CA","santa barbara county",448244,31715,"","","",""
"227","CA","solano county",452698,165554,"","","",""
"228","CA","tulare county",473891,67974,"","","",""
"229","CA","sonoma county",488281,67892,"","","",""
"230","CA","stanislaus county",553217,31724,"","","",""
"231","CA","san mateo county",762511,31714,"","","",""
"232","CA","san joaquin county",780558,31712,"","","",""
"233","CA","ventura county",843310,149441,"","","",""
"234","CA","san francisco county",870393,NA,"missing","missing","",""
"235","CA","kern county",905828,146252,"","","",""
"236","CA","fresno county",1009503,31677,"","","",""
"237","CA","contra costa county",1165986,165557,"","","",""
"238","CA","sacramento county",1586465,NA,"missing","missing","",""
"239","CA","alameda county",1680380,149446,"","","",""
"240","CA","santa clara county",1931026,31546,"","","",""
"241","CA","san bernardino county",2183239,31709,"","","",""
"242","CA","riverside county",2422847,149444,"","","",""
"243","CA","orange county",3185516,31700,"","","",""
"244","CA","san diego county",3296045,31710,"","","",""
"245","CA","los angeles county",9992236,31687,"","","",""
"246","CO","san juan county",710,NA,"missing","missing","",""
"247","CO","hinsdale county",788,NA,"missing","missing","uploaded file to portal","https://hinsdalecounty.colorado.gov/financial-information-19"
"248","CO","mineral county",871,NA,"missing","missing","only available till 2018","https://gcfmld.colorado.gov/about-us/financial-information"
"249","CO","jackson county",1378,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"250","CO","kiowa county",1452,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"251","CO","cheyenne county",1744,111030,"","","uploaded file to portal",""
"252","CO","dolores county",2332,31962,"","","",""
"253","CO","sedgwick county",2390,NA,"missing","missing","Not found on internet as of September 10, 2023",""
"254","CO","baca county",3482,91970,"","","",""
"255","CO","costilla county",3501,31958,"","","",""
"256","CO","phillips county",4531,111038,"","","uploaded file to portal",""
"257","CO","custer county",4719,31960,"","","",""
"258","CO","washington county",4808,111041,"","missing","",""
"259","CO","ouray county",4881,111036,"","","",""
"260","CO","bent county",5478,31953,"","","",""
"261","CO","lincoln county",5665,31976,"","","",""
"262","CO","crowley county",5694,31959,"","","",""
"263","CO","gilpin county",5824,111031,"","","",""
"264","CO","saguache county",6393,31988,"","","",""
"265","CO","rio blanco county",6524,31985,"","","",""
"266","CO","huerfano county",6827,31970,"","","",""
"267","CO","kit carson county",7066,91981,"","missing","",""
"268","CO","lake county",7404,31972,"","missing","",""
"269","CO","conejos county",7458,31957,"","","",""
"270","CO","san miguel county",8054,91987,"","","",""
"271","CO","clear creek county",9393,31956,"","","",""
"272","CO","yuma county",9979,1036246,"","","",""
"273","CO","rio grande county",11538,31986,"","","",""
"274","CO","prowers county",12010,31983,"","","",""
"275","CO","moffat county",13264,44924,"","","",""
"276","CO","archuleta county",13425,31952,"","","",""
"277","CO","las animas county",14482,31975,"","","",""
"278","CO","grand county",15748,31968,"","","",""
"279","CO","alamosa county",16377,31950,"","","",""
"280","CO","gunnison county",16945,31969,"","","",""
"281","CO","pitkin county",17354,31982,"","","",""
"282","CO","park county",17419,111037,"","","",""
"283","CO","otero county",18667,31981,"","","",""
"284","CO","chaffee county",19477,31955,"","","",""
"285","CO","logan county",21204,31977,"","","",""
"286","CO","teller county",24747,44995,"","","",""
"287","CO","routt county",24829,31987,"","","",""
"288","CO","montezuma county",25883,419181,"","","",""
"289","CO","elbert county",26207,31964,"","","",""
"290","CO","morgan county",29072,31980,"","","",""
"291","CO","summit county",30994,31989,"","","",""
"292","CO","delta county",31051,31961,"","","",""
"293","CO","montrose county",42817,31979,"","","",""
"294","CO","fremont county",48878,31966,"","","",""
"295","CO","eagle county",55665,44625,"","","",""
"296","CO","la plata county",55675,31973,"","","",""
"297","CO","garfield county",61792,31967,"","","",""
"298","CO","broomfield county",74484,NA,"missing","missing","CITY AND COUNTY OF BROOMFIELD, uploaded","https://www.broomfield.org/3923/Accounting-Reports"
"299","CO","mesa county",156005,31978,"","","",""
"300","CO","pueblo county",168325,31984,"","","",""
"301","CO","boulder county",330922,31954,"","missing","",""
"302","CO","weld county",331427,31990,"","","",""
"303","CO","larimer county",359899,31974,"","","",""
"304","CO","douglas county",360303,31963,"","","",""
"305","CO","adams county",520479,31949,"","","",""
"306","CO","jefferson county",583050,31971,"","","",""
"307","CO","arapahoe county",655207,31951,"","","",""
"308","CO","denver county",717556,NA,"missing","missing","",""
"309","CO","el paso county",732342,31965,"","","",""
"310","CT","northeastern connecticut planning region",95274,NA,"missing","missing","",""
"311","CT","northwest hills planning region",112269,NA,"missing","missing","",""
"312","CT","lower connecticut river valley planning region",173927,NA,"missing","missing","",""
"313","CT","southeastern connecticut planning region",279522,NA,"missing","missing","",""
"314","CT","greater bridgeport planning region",324932,NA,"missing","missing","",""
"315","CT","naugatuck valley planning region",449896,NA,"missing","missing","",""
"316","CT","south central connecticut planning region",569237,NA,"missing","missing","",""
"317","CT","western connecticut planning region",619146,NA,"missing","missing","",""
"318","CT","capitol planning region",973159,NA,"missing","missing","",""
"319","DC","district of columbia",670868,NA,"missing","missing","",""
"320","DE","kent county",182362,224003,"","","",""
"321","DE","sussex county",238879,32214,"","","",""
"322","DE","new castle county",570873,1151665,"","","",""
"323","FL","liberty county",7805,NA,"missing","","uploaded file to portal",""
"324","FL","lafayette county",8214,1206238,"","","",""
"325","FL","glades county",12068,96401,"","","",""
"326","FL","franklin county",12463,32232,"","","",""
"327","FL","calhoun county",13703,32227,"","","",""
"328","FL","hamilton county",13733,32234,"","","",""
"329","FL","gulf county",14264,32233,"","","",""
"330","FL","jefferson county",14390,92006,"","","",""
"331","FL","union county",15417,196485,"","","",""
"332","FL","dixie county",16690,92000,"","","",""
"333","FL","madison county",17866,96412,"","","",""
"334","FL","gilchrist county",17883,69135,"","","",""
"335","FL","holmes county",19569,1265314,"","","",""
"336","FL","taylor county",21739,96427,"","","",""
"337","FL","washington county",25313,32265,"","","",""
"338","FL","hardee county",25331,196473,"","","",""
"339","FL","baker county",28115,68550,"","missing","",""
"340","FL","bradford county",28224,189088,"","","",""
"341","FL","wakulla county",33895,1265732,"","","",""
"342","FL","desoto county",34087,189095,"","","",""
"343","FL","okeechobee county",39642,196481,"","","",""
"344","FL","hendry county",39725,196474,"","","",""
"345","FL","levy county",43059,44758,"","","",""
"346","FL","gadsden county",43402,69123,"","","",""
"347","FL","suwannee county",43517,96426,"","","",""
"348","FL","jackson county",47079,32240,"","","",""
"349","FL","columbia county",69737,96398,"","","",""
"350","FL","putnam county",73376,44085,"","","",""
"351","FL","walton county",75937,32264,"","","",""
"352","FL","monroe county",82852,32247,"","","",""
"353","FL","nassau county",91027,43773,"","","",""
"354","FL","highlands county",101345,32236,"","","",""
"355","FL","flagler county",116030,45904,"","","",""
"356","FL","sumter county",130298,1265672,"","","",""
"357","FL","citrus county",154565,148080,"","","",""
"358","FL","martin county",158658,96413,"","","",""
"359","FL","indian river county",160439,32239,"","","",""
"360","FL","bay county",174506,32223,"","","",""
"361","FL","charlotte county",188013,148079,"","","",""
"362","FL","santa rosa county",188989,32259,"","","",""
"363","FL","hernando county",195627,41075,"","","",""
"364","FL","okaloosa county",212071,32249,"","","",""
"365","FL","clay county",218933,41150,"","","",""
"366","FL","st johns county",277085,NA,"missing","missing","",""
"367","FL","alachua county",279742,147772,"","","",""
"368","FL","leon county",293948,96405,"","","",""
"369","FL","escambia county",322551,148097,"","","",""
"370","FL","st lucie county",331428,NA,"missing","missing","",""
"371","FL","collier county",377293,44027,"","","",""
"372","FL","marion county",377459,196480,"","","",""
"373","FL","lake county",386194,196475,"","","",""
"374","FL","osceola county",391118,1266183,"","","",""
"375","FL","manatee county",401593,148131,"","","",""
"376","FL","sarasota county",436207,44026,"","","",""
"377","FL","seminole county",471428,32260,"","","",""
"378","FL","volusia county",555764,32262,"","","",""
"379","FL","pasco county",566126,148146,"","","",""
"380","FL","brevard county",608713,32225,"","","",""
"381","FL","polk county",730111,32256,"","","",""
"382","FL","lee county",765504,32242,"","","",""
"383","FL","pinellas county",959465,32255,"","","",""
"384","FL","duval county",997604,NA,"missing","missing","",""
"385","FL","orange county",1431573,32251,"","","",""
"386","FL","hillsborough county",1466160,32237,"","","",""
"387","FL","palm beach county",1494173,1266402,"","","",""
"388","FL","broward county",1943266,68695,"","","",""
"389","FL","miami-dade county",2695501,69702,"","","",""
"390","GA","taliaferro county",1562,96534,"","","",""
"391","GA","quitman county",2228,96522,"","","",""
"392","GA","webster county",2352,96555,"","missing","",""
"393","GA","clay county",2830,NA,"missing","missing","can't find",""
"394","GA","baker county",2851,111290,"","","",""
"395","GA","glascock county",2894,NA,"missing","missing","only till 2017",""
"396","GA","echols county",3720,NA,"missing","","echols county consolidated government",""
"397","GA","schley county",4534,NA,"missing","missing","only till 2019",""
"398","GA","warren county",5208,NA,"missing","","uploaded files to portal",""
"399","GA","stewart county",5304,105204,"","missing","",""
"400","GA","calhoun county",5573,NA,"missing","","uploaded files to portal",""
"401","GA","talbot county",5726,71012,"","","",""
"402","GA","miller county",5988,NA,"missing","missing","only till 2017",""
"403","GA","randolph county",6368,96523,"","missing","",""
"404","GA","treutlen county",6396,NA,"missing","","uploaded files to portal",""
"405","GA","clinch county",6725,70784,"","","",""
"406","GA","wheeler county",7447,96557,"","","",""
"407","GA","marion county",7530,NA,"missing","missing","only till 2019",""
"408","GA","lincoln county",7701,45144,"","","",""
"409","GA","taylor county",7819,NA,"missing","missing","only till 2016",""
"410","GA","twiggs county",8011,96547,"","missing","",""
"411","GA","atkinson county",8311,90328,"","missing","",""
"412","GA","montgomery county",8574,96499,"","","",""
"413","GA","jenkins county",8666,NA,"missing","missing","can't find",""
"414","GA","hancock county",8708,NA,"missing","missing","only till 2018",""
"415","GA","wilcox county",8792,NA,"missing","","uploaded files to portal",""
"416","GA","wilkinson county",8824,96558,"","missing","",""
"417","GA","turner county",8983,96546,"","","",""
"418","GA","seminole county",9131,71000,"","","",""
"419","GA","terrell county",9138,71014,"","","",""
"420","GA","johnson county",9186,NA,"missing","missing","only till 2015",""
"421","GA","chattahoochee county",9481,NA,"missing","missing","cusseta-chattahoochee county unified government",""
"422","GA","wilkes county",9556,90329,"","","",""
"423","GA","irwin county",9650,NA,"missing","","uploaded files to portal",""
"424","GA","pulaski county",9873,96520,"","","",""
"425","GA","lanier county",9926,96490,"","missing","",""
"426","GA","evans county",10790,70829,"","","",""
"427","GA","early county",10799,70822,"","","",""
"428","GA","mcintosh county",10987,57625,"","","",""
"429","GA","candler county",11022,70763,"","missing","",""
"430","GA","bacon county",11108,NA,"missing","","only 2021",""
"431","GA","dooly county",11165,65879,"","","",""
"432","GA","heard county",11448,NA,"missing","missing","only till 2016",""
"433","GA","macon county",12021,70918,"","","",""
"434","GA","crawford county",12103,90305,"","missing","",""
"435","GA","telfair county",12465,96538,"","","",""
"436","GA","bleckley county",12524,96448,"","","",""
"437","GA","charlton county",12532,96453,"","","",""
"438","GA","towns county",12545,96543,"","","",""
"439","GA","screven county",14078,NA,"missing","missing","uploaded files to portal",""
"440","GA","jasper county",14666,32451,"","","",""
"441","GA","jeff davis county",14799,NA,"missing","","only till 2018",""
"442","GA","oglethorpe county",14867,96507,"","missing","",""
"443","GA","jefferson county",15678,96485,"","","",""
"444","GA","dade county",16235,70801,"","","",""
"445","GA","brooks county",16268,92025,"","missing","",""
"446","GA","long county",16269,NA,"missing","","uploaded files to portal",""
"447","GA","rabun county",16914,92042,"","","",""
"448","GA","ben hill county",17168,196488,"","","",""
"449","GA","cook county",17234,43232,"","","",""
"450","GA","brantley county",18043,NA,"missing","missing","only till 2018",""
"451","GA","banks county",18082,NA,"missing","","uploaded files to portal",""
"452","GA","berrien county",18148,NA,"missing","","only till 2016",""
"453","GA","appling county",18366,111289,"","missing","",""
"454","GA","lamar county",18551,96489,"","","",""
"455","GA","pike county",18936,NA,"missing","missing","https://ted.cviog.uga.edu/financial-documents/financial-reports?og_group_ref_target_id%5B%5D=171&field_fiscal_year_value%5Bmin%5D%5Byear%5D=&field_fiscal_year_value%5Bmax%5D%5Byear%5D=",""
"456","GA","greene county",19021,70847,"","","",""
"457","GA","elbert county",19667,52686,"","missing","uploaded files to portal",""
"458","GA","pierce county",19746,96512,"","","",""
"459","GA","dodge county",19874,96467,"","missing","",""
"460","GA","washington county",19948,92050,"","","",""
"461","GA","crisp county",20050,32443,"","","",""
"462","GA","morgan county",20198,70931,"","","",""
"463","GA","meriwether county",20606,32457,"","","",""
"464","GA","worth county",20738,71047,"","","",""
"465","GA","mcduffie county",21603,196502,"","","",""
"466","GA","mitchell county",21668,196503,"","","",""
"467","GA","putnam county",22163,70948,"","","",""
"468","GA","emanuel county",22887,96469,"","","uploaded files to portal",""
"469","GA","franklin county",23468,96471,"","","",""
"470","GA","tattnall county",24316,96536,"","","",""
"471","GA","burke county",24633,90307,"","","",""
"472","GA","union county",24798,96548,"","","",""
"473","GA","chattooga county",24922,105199,"","","",""
"474","GA","fannin county",25434,111294,"","","",""
"475","GA","butts county",25551,70759,"","","",""
"476","GA","hart county",25871,111295,"","missing","",""
"477","GA","grady county",26222,105200,"","","",""
"478","GA","stephens county",26820,71010,"","","",""
"479","GA","dawson county",27056,47010,"","","",""
"480","GA","toombs county",27081,NA,"missing","","uploaded files to portal",""
"481","GA","upson county",27740,32463,"","","",""
"482","GA","peach county",28040,70941,"","missing","",""
"483","GA","monroe county",28055,96498,"","","",""
"484","GA","white county",28108,32464,"","","",""
"485","GA","jones county",28397,47624,"","","",""
"486","GA","decatur county",29324,32444,"","","",""
"487","GA","sumter county",29516,32460,"","","uploaded files to portal",""
"488","GA","haralson county",30037,70853,"","","",""
"489","GA","wayne county",30145,1035768,"","","",""
"490","GA","madison county",30269,96492,"","missing","",""
"491","GA","gilmer county",31428,96473,"","","",""
"492","GA","lee county",33215,65345,"","","",""
"493","GA","pickens county",33339,92041,"","missing","",""
"494","GA","lumpkin county",33631,48032,"","","",""
"495","GA","harris county",34896,70854,"","","",""
"496","GA","ware county",36225,96551,"","","",""
"497","GA","murray county",40012,105202,"","missing","",""
"498","GA","tift county",41374,71026,"","","",""
"499","GA","oconee county",42013,224031,"","","",""
"500","GA","polk county",42923,96516,"","","",""
"501","GA","coffee county",43052,32441,"","","",""
"502","GA","baldwin county",43794,32437,"","","",""
"503","GA","bryan county",45035,105197,"","","",""
"504","GA","thomas county",45785,32461,"","","",""
"505","GA","colquitt county",45900,196495,"","","",""
"506","GA","habersham county",46138,32449,"","","",""
"507","GA","laurens county",49544,32453,"","","",""
"508","GA","camden county",54925,46501,"","","",""
"509","GA","gordon county",57716,70845,"","","",""
"510","GA","effingham county",65158,399294,"","","",""
"511","GA","liberty county",65317,70913,"","","",""
"512","GA","spalding county",67455,71006,"","","",""
"513","GA","walker county",67742,140503,"","","",""
"514","GA","catoosa county",68006,64803,"","","",""
"515","GA","troup county",69323,32462,"","","",""
"516","GA","jackson county",76717,196500,"","","",""
"517","GA","bulloch county",79918,64802,"","","",""
