"","state.abb","name","government_ID","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","population","""geoID"""
"31","DE","delaware",NA,32212,2020,15909284000,3503151400,1987209000,0,242819500,0,1835017000,4945000,7347246000,0,212001100,1904847000,3403497000,0,5188031000,152998000,10343377000,0,0,0,10496375000,992114,"geoID"
"32","MI","michigan",NA,80814,2020,35977177000,2088400000,7131778000,421300000,1439600000,3349760000,7540000000,0,9691000000,0,428800000,29249298000,25872521000,1187137000,31965132000,-1738206000,90012294000,4256618000,16561000,0,88274088000,10069577,"geoID"
"33","MS","mississippi",NA,95852,2020,13060607000,4686238000,2672089000,7637000,0,1080809000,3151705000,0,193113000,0,126506000,2592689000,9471374000,600990000,7836263000,454854000,20046462000,0,0,0,20501316000,2958141,"geoID"
"34","DC","district of columbia","09200100100000",47298,2020,17091665000,6800186000,2362726000,74743000,367423000,0,229413000,596347000,0,19048000,494687000,1204996000,5851947000,278833000,9061957000,-156882000,16554615000,0,0,0,16397733000,670868,"geoID"
"35","CT","connecticut",NA,149448,2020,97821884000,29166415000,3388016000,15132000,0,0,39840819000,0,23023169000,0,728321000,6600462000,10118786000,784244000,18214167000,-1437622000,37155281000,0,0,0,35717659000,3597362,"geoID"
"36","LA","louisiana",NA,90240,2020,31993734000,8419548000,6912535000,2229000,0,31897000,6614130000,0,5780776000,0,233104000,3188779000,20711584000,625059000,11816143000,483404000,35858161000,0,0,0,36341565000,4651664,"geoID"
"37","OK","oklahoma",NA,37320,2020,7276923000,2265388000,4097748000,78000,0,59360000,321161000,38433000,150663000,29752000,177538000,3575443000,9908854000,0,10026298000,716970000,22793625000,0,0,0,23510595000,3964912,"geoID"
"38","GA","georgia",NA,1265711,2020,42898593000,11199640000,14141466000,3023377000,0,329604000,7896789000,115550000,5624423000,253962000,682156000,8375990000,29451317000,1833731000,26325926000,490511000,65496453000,0,0,0,65986964000,10729828,"geoID"
"39","WY","wyoming",NA,40122,2020,10270669870,13865082,7145725573,117252,0,0,463995694,0,381732888,0,68787262,753011345,1419909101,9928693,2518825856,-25059285,4726734280,0,0,0,4701674995,577605,"geoID"
"40","IL","illinois",NA,399484,2020,263404811000,31531895000,25778585000,9871000,0,1545193000,143346569000,0,58996493000,0,401594000,8186570000,32401974000,1628823000,48964374000,-6687686000,97869427000,0,0,0,91181741000,12786580,"geoID"
"41","MD","maryland",NA,149463,2020,65583150000,20700855000,6958216000,770343000,0,0,18912696000,0,17257184000,0,353144000,8764170000,17841944000,1067316000,22956689000,116684000,50513435000,305327000,201206000,0,50630119000,6173205,"geoID"
"42","VT","vermont",NA,39343,2020,7263223731,675146062,1806660294,9157330,0,0,2387778363,0,2237128790,0,42012068,970409150,2651316508,184337107,3356200188,-258484737,7420747690,0,0,0,7162262953,642893,"geoID"
"43","AZ","arizona",NA,40623,2020,24362565000,6207355000,6148699000,254081000,0,217762000,5470494000,0,1281292000,36036000,463129000,6023330000,23392276000,673685000,18109069000,912968000,47285392000,0,0,0,48198360000,7179943,"geoID"
"44","AL","alabama",NA,31550,2020,13679635000,4941832000,2722165000,91916000,78034000,0,3664524000,0,1698962000,0,330270000,2871100000,13023279000,1045727000,13168595000,1250988000,28857713000,183252000,2934470000,0,30108701000,5031362,"geoID"
"45","HI","hawaii",NA,71062,2020,28421578000,10028955000,2708675000,139696000,0,600000000,7226416000,0,6977722000,0,262056000,2994083000,3597822000,95720000,7820357000,-951259000,15459241000,0,0,0,14507982000,1451043,"geoID"
"46","MT","montana",NA,64951,2020,5140282000,119928000,2176914000,20643000,0,98148000,2254594000,39567000,46410000,0,111510000,1129383000,3001729000,565381000,3516732000,562099000,7651126000,0,0,0,8213225000,1087075,"geoID"
"47","NM","new mexico",NA,82166,2020,14617951000,4145804000,3134067000,546000,12069000,12506000,5617739000,0,1159319000,0,182688000,5003655000,9670207000,470015000,8414518000,1856427000,21701968000,0,0,0,23558395000,2118390,"geoID"
"48","UT","utah",NA,39282,2020,8052895000,4431385000,2472354000,28380000,0,183000,730772000,0,18760000,0,210811000,2215514000,5351354000,180207000,9494647000,1052245000,16189477000,104028000,3272000,0,17241722000,3283785,"geoID"
"49","IN","indiana",NA,196751,2020,19776175000,0,6709986000,832347000,0,0,11792876000,0,190159000,0,194149000,3785661000,19009873000,1249899000,18491040000,919477000,41616996000,0,0,0,42536473000,6788799,"geoID"
"50","IA","iowa",NA,1036991,2020,9758958000,3190775000,3087152000,46661000,0,0,1078093000,0,456472000,0,549822000,6983980000,9234739000,576230000,9934191000,1235739000,25493401000,4533254000,1418009000,31680000,26729140000,3190571,"geoID"
"51","CA","california",NA,31665,2020,408305319000,109854424000,85723585000,750161000,2417879000,2163863000,92089623000,0,90486960000,0,4401397000,58888202000,146264025000,2107963000,179355805000,-337779000,386953774000,0,0,0,386615995000,39501653,"geoID"
